Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
V-500CA,150221546,KA57F0183,V-500CA/21-Week Days,9987873810
C-365,150221233,KA57F0017,C-365/27-All Days,9987865788
C-500CA,150219299,KA57F0157,C-500CA/44-Holiday,9987863240
C-500CK,150221787,KA57F0018,C-500CK/10-All Days,9987862760
V-500K,150219890,KA57F0971,V-500K/2-Week Days,9987872972
V-335T,150221115,KA57F0965,V-335T/5-Week Days,9987862325
V-335EP,150218026,KA01FA0582,V-335EP/10-All Days,9987898085
V-335EN,150219688,KA01FA1552,V-335EN/4-All Days,9987893816
V-335EN,150220996,KA01FA1948,V-335EN/2-All Days,9987893266
364G,150813765,KA53F0230,364G/1-All Days,9967543623
600G,150222820,KA57F0584,600G/2-All Days,9987817027
V-500DC,150221098,KA57F0786,V-500DC/3-Week Days,9987862767
V-500CA,150220208,KA57F0044,V-500CA/5-Week Days,8828028706
V-360B,150220207,KA57F0847,V-360B/1-Holiday,8828028692
V-317A,150220350,KA57F1197,V-317A/1-All Days,8828031178
352E,150219662,KA01FA1232,352E/1-All Days,9967504110
352A,150221790,KA53F0243,352A/1-All Days,9987795633
306J,150221503,KA01F4622,306J/2-All Days,9967546518
KBS-1I,150222857,KA01FA0754,KBS-1I/27-All Days,9987806985
323A,150813878,KA01FA0966,323A/1-All Days,9967466012
KIAS-8,150219389,KA57F0342,KIAS-8/7-All Days,9987863710
V-500CK,150219606,KA01FA1532,V-500CK/1-All Days,9987862352
360K,150813177,KA01FA1622,360K/1-All Days,9967467896
276,150219832,KA57F0740,276/7-All Days,9987789514
242CB,150814871,KA57F0776,242CB/1-All Days,9892351228
235,150810368,KA01F4658,235/1-Holiday,9967547871
96G,150811394,KA01FA2359,96G/11-All Days,9967548357
238C,150811341,KA01F4709,238C/1-Week Days,9967484394
V-333Z,150221580,KA57F0909,V-333Z/6-Week Days,9987869604
V-500K,150221091,KA57F0850,V-500K/5-Holiday,9987869217
29A,150222451,KA57F0067,29A/1-Holiday,9987891434
365,150219415,KA01F2294,365/4-All Days,9987865058
SJP-FDR-1,150220159,KA57F0651,SJP-FDR-1/2-All Days,9987864921
600F,150221836,KA01FA0033,600F/42-All Days,9987867026
163G,150219099,KA53F0043,163G/1-Week Days,9987840032
500A,150222968,KA01F2122,500A/5-All Days,9987823611
215,150219055,KA01F3198,215/2-All Days,9987788461
24B,150219013,KA01F4387,24B/1-Holiday,9987799795
500A,150218784,KA01F8684,500A/6-All Days,9987823994
K-5,150218527,KA57F0656,K-5/13-All Days,9987814838
215C,150218043,KA57F1049,215C/3-All Days,9987822524
46A,150220714,KA01F4925,46A/3-All Days,9967506369
36,150219792,KA01F8807,36/2-All Days,9987784379
CS-20,150218259,KA01F8923,CS-20/1-All Days,9987890830
345,150814575,KA01FA0265,345/2-All Days,9967550862
369P,150810874,KA01FA0948,369P/1-All Days,9967542495
355,150812266,KA01FA1241,355/1-All Days,9867904072
366Z,150219087,KA01F4367,366Z/7-All Days,9987789640
355Q,150813839,KA57F0572,355Q/1-All Days,9967501743
370B,150812430,KA57F0580,370B/1-All Days,9967542515
219,150219034,KA57F1133,219/1-All Days,9987801238
63,150812496,KA01F3817,63/2-Week Days,9867723039
201M,150222578,KA01F9555,201M/4-All Days,9987605729
500DB,150814651,KA01FA1739,500DB/1-All Days,9967498992
316V,150812451,KA01FA0734,316V/1-All Days,9987796953
12F-1,150222053,KA57F1386,12F-1/3-All Days,9987794803
303A,150813618,KA01F3216,303A/1-All Days,9967541540
291J,150811277,KA01F3504,291J/9-All Days,9967476009
140E,150811822,KA01FA0612,140E/1-All Days,9867489665
242M,150218097,KA01F3613,242M/1-All Days,9987891628
238ZA,150218353,KA01F4831,238ZA/3-Holiday,9967506733
248G,150812991,KA01F3494,248G/1-Week Days,9967862918
244E,150812965,KA01FA1757,244E/1-Saturday,9967560858
248G,150811125,KA01F3533,248G/5-All Days,9967546959
329B,150812903,KA01FA1059,329B/1-All Days,9967551742
304X,150812922,KA01FA1089,304X/1-All Days,9967470375
342T,150813922,KA53F0084,342T/1-All Days,9967470225
500E,150811532,KA57F0170,500E/1-Week Days,9967487945
401A,150813064,KA53F0250,401A/7-All Days,9967487989
KBS-13K,150222999,KA01FA0779,KBS-13K/3-All Days,9987826873
248,150221356,KA01FA0208,248/24-All Days,9987797763
291E,150222251,KA01F3591,291E/3-All Days,9967504751
294,150812954,KA01F4766,294/1-All Days,9967465493
KBS-1K,150811525,KA01FA0378,KBS-1K/4-All Days,9967546995
401M,150220727,KA01F8783,401M/21-All Days,8828031061
293R,150218713,KA01F3672,293R/1-Week Days,9987811844
BC-9,150812881,KA01FA2370,BC-9/2-All Days,9967484889
500DM,150810858,KA01F4547,500DM/4-All Days,9967480405
176CA,150222895,KA01F3527,176CA/1-All Days,9967505443
500A,150222449,KA57F0113,500A/4-All Days,9987801286
231A,150814043,KA01FA0714,231A/1-All Days,9967545190
500D,150810573,KA01F3907,500D/28-All Days,9987833808
402B,150813205,KA01F4962,402B/1-All Days,9987783407
500D,150814405,KA01F3906,500D/22-All Days,9967487499
290E,150811333,KA57F0589,290E/2-All Days,9987808858
171A,150222484,KA01FA1804,171A/2-Holiday,9987811318
210A,150222291,KA57F340,210A/2-Holiday,9987788563
13E,150222807,KA01FA1381,13E/1-All Days,9987819668
370E,150810854,KA01F4688,370E/1-All Days,9967541733
401K,150812808,KA01F8659,401K/27-All Days,9967548657
